date,GLD,QQQ,SPY,TLT
2015-01-02,114.08000183105469,94.78443908691406,170.58958435058594,94.39936828613281
2015-01-05,115.80000305175781,93.39405059814453,167.5087890625,95.88226318359375
2015-01-06,117.12000274658203,92.14179229736328,165.9310760498047,97.60980987548828
2015-01-07,116.43000030517578,93.32959747314453,167.99876403808594,97.41700744628906
2015-01-08,115.94000244140625,95.11591339111328,170.97991943359375,96.12687683105469
2015-01-09,117.26000213623047,94.48980712890625,169.60972595214844,97.17974853515625
2015-01-12,118.55999755859375,93.50455474853516,168.28106689453125,97.73580169677734
2015-01-13,118.16000366210938,93.47692108154297,167.8078155517578,97.73580169677734
2015-01-14,117.97000122070312,92.9613265991211,166.79470825195312,98.47723388671875
2015-01-15,120.94000244140625,91.7551040649414,165.26670837402344,100.0268783569336
2015-01-16,122.5199966430664,92.83238983154297,167.43408203125,98.75160217285156
2015-01-20,124.19999694824219,93.56902313232422,167.79119873046875,100.06391906738281
2015-01-21,124.2300033569336,94.0478286743164,168.63819885253906,98.90727233886719
2015-01-22,125.2300033569336,95.7880630493164,171.14602661132812,98.5513916015625
2015-01-23,124.2300033569336,95.99986267089844,170.20761108398438,99.92306518554688
2015-01-26,122.98999786376953,95.88935852050781,170.606201171875,99.61907958984375
2015-01-27,124.4000015258789,93.40326690673828,168.3558349609375,99.77476501464844
2015-01-28,123.41999816894531,92.92447662353516,166.19679260253906,101.40592956542969
2015-01-29,120.76000213623047,93.81761932373047,167.73306274414062,100.73863220214844
2015-01-30,123.44999694824219,93.09020233154297,165.62376403808594,102.52545928955078
2015-02-02,122.41999816894531,93.90049743652344,167.67491149902344,102.138427734375
2015-02-03,121.05000305175781,94.8028564453125,170.09967041015625,99.97648620605469
2015-02-04,121.58000183105469,94.71998596191406,169.45196533203125,100.14736938476562
2015-02-05,121.79000091552734,95.53948211669922,171.16262817382812,99.0478515625
2015-02-06,118.63999938964844,94.9593734741211,170.68923950195312,97.29448699951172
2015-02-09,119.16999816894531,94.655517578125,169.92532348632812,97.13848876953125
2015-02-10,118.47000122070312,96.1287612915039,171.73553466796875,96.36579132080078
2015-02-11,117.06999969482422,96.47865295410156,171.83518981933594,96.54411315917969
2015-02-12,117.33999633789062,97.60200500488281,173.48770141601562,96.22465515136719
2015-02-13,117.9800033569336,98.43993377685547,174.2018280029297,95.23658752441406
2015-02-17,116.01000213623047,98.53195190429688,174.4759063720703,93.8027114868164
2015-02-18,116.33999633789062,98.67009735107422,174.49252319335938,94.35987854003906
2015-02-19,115.94000244140625,99.15809631347656,174.36793518066406,93.7358627319336
2015-02-20,115.27999877929688,99.82107543945312,175.41427612304688,94.01072692871094
2015-02-23,115.43000030517578,99.92234802246094,175.38931274414062,95.0879898071289
2015-02-24,115.26000213623047,99.99600982666016,175.88754272460938,96.33614349365234
2015-02-25,115.69999694824219,99.74739074707031,175.73812866210938,96.75215148925781
2015-02-26,116.06999969482422,100.25383758544922,175.53050231933594,95.42975616455078
2015-02-27,116.16000366210938,99.8118667602539,174.93260192871094,96.23208618164062
2015-03-02,115.68000030517578,100.71419525146484,176.03704833984375,94.43965911865234
2015-03-03,115.47000122070312,100.24461364746094,175.31460571289062,94.09722137451172
2015-03-04,115.11000061035156,99.8578872680664,174.57557678222656,94.12699127197266
2015-03-05,115.0,100.0328140258789,174.76654052734375,94.00787353515625
2015-03-06,111.86000061035156,98.90028381347656,172.30850219726562,91.93107604980469
2015-03-09,111.97000122070312,99.18572998046875,173.02272033691406,92.77967834472656
2015-03-10,111.41999816894531,97.34416961669922,170.21591186523438,94.00048065185547
2015-03-11,110.75,96.78250122070312,169.8173828125,94.68528747558594
2015-03-12,110.72000122070312,97.41786193847656,171.97645568847656,94.6182861328125
2015-03-13,110.87999725341797,96.99427795410156,170.92178344726562,94.32795715332031
2015-03-16,110.80999755859375,98.24654388427734,173.20542907714844,95.23615264892578
2015-03-17,110.20999908447266,98.40309143066406,172.69053649902344,96.02519989013672
2015-03-18,112.37000274658203,99.369873046875,174.76654052734375,97.87869262695312
2015-03-19,112.29000091552734,99.51720428466797,173.96934509277344,97.37995910644531
2015-03-20,113.56999969482422,100.161376953125,175.50498962402344,97.89359283447266
2015-03-23,114.29000091552734,99.96756744384766,175.1630096435547,97.7744369506836
2015-03-24,114.56999969482422,99.60762786865234,174.17872619628906,98.71981811523438
2015-03-25,114.7300033569336,97.32811737060547,171.62637329101562,97.88606262207031
2015-03-26,115.4800033569336,96.99588775634766,171.21763610839844,96.36011505126953
2015-03-27,115.05999755859375,97.38347625732422,171.60963439941406,97.55860137939453
2015-03-30,113.75,98.50018310546875,173.703369140625,97.07474517822266
2015-03-31,113.66000366210938,97.45730590820312,172.18521118164062,97.28316497802734
2015-04-01,115.5999984741211,96.94974517822266,171.57632446289062,98.56096649169922
2015-04-02,115.27999877929688,97.01432037353516,172.19351196289062,97.51666259765625
2015-04-06,116.69000244140625,97.8080062866211,173.3529815673828,96.97208404541016
2015-04-07,116.11000061035156,97.64189910888672,172.8941650390625,97.7851791381836
2015-04-08,115.47000122070312,98.41712188720703,173.47808837890625,97.81501007080078
2015-04-09,114.66999816894531,99.03545379638672,174.24546813964844,96.54695129394531
2015-04-10,115.97000122070312,99.44152069091797,175.19631958007812,96.68861389160156
2015-04-13,115.13999938964844,99.19235229492188,174.40399169921875,96.82291412353516
2015-04-14,114.44000244140625,98.90628051757812,174.73760986328125,97.50918579101562
2015-04-15,115.43000030517578,99.52455139160156,175.52162170410156,97.4271240234375
